Model,TL,NN,MAXN
Mobnet,73.53,61.76,23.53
Resnet,79.41,64.71,0.0
Yolo,97.06,82.35,79.41
Lstm,97.06,82.35,29.41
Bert,88.24,35.29,0.0
Mobnet_IN,85.29,73.53,23.53
Resnet_GLD,88.24,64.71,8.82